ccode1,ccode2,year,cap_1,cap_2,alliance,contig,dyaddur,polity21,polity22,demdA,demdB,allied,jointdem,anyweak,hegemon,terrmid,lncapratdir,NEGOC,terrcontig
365,366,1939,.138136,.000565,1,1,21,-9,-6,0,0,1,0,1,0,0,5.499168,0,0
365,366,1940,.137345,.000491,1,1,22,-9,-6,0,0,1,0,1,0,0,5.633807,0,0
365,366,1992,.06595,.000263,4,1,1,6,6,1,1,0,1,1,0,0,5.524498,0,0
365,367,1919,.063167,.001276,4,1,1,-1,,0,0,0,0,1,0,1,3.902052,0,1
365,367,1921,.148514,.001357,4,1,3,-1,7,0,1,0,0,1,0,0,4.695403,0,0
365,367,1939,.138136,.00109,1,1,21,-9,-9,0,0,1,0,1,0,0,4.842061,0,0
365,367,1940,.137345,.000891,1,1,22,-9,-9,0,0,1,0,1,0,1,5.037907,0,1
365,367,1994,.066177,.000379,4,1,3,4,8,0,1,0,0,1,0,0,5.162552,0,0
365,367,1998,.052274,.000385,4,1,7,4,8,0,1,0,0,1,0,0,4.911011,0,0
365,368,1918,.037405,.000906,4,1,0,-1,4,0,0,0,0,1,0,1,3.72052,0,1
365,368,1940,.137345,.000815,1,1,22,-9,-9,0,0,1,0,1,0,0,5.127063,0,0
365,368,1995,.063471,.000516,4,1,4,4,10,0,1,0,0,1,0,1,4.812232,0,1
365,369,1992,.06595,.022366,4,1,1,6,6,1,1,0,1,0,0,0,1.081355,0,0
365,369,1994,.066177,.016262,4,1,3,4,7,0,1,0,0,1,0,0,1.403502,0,0
365,369,1996,.059208,.01518,2,1,5,4,7,0,1,1,0,0,0,1,1.361078,0,1
365,372,1992,.06595,.00101,4,1,1,6,4,1,0,0,0,1,0,1,4.178946,0,1
365,372,1997,.056771,.000545,2,1,6,4,5,0,0,1,0,1,0,0,4.645995,1,0
365,372,1999,.052523,.00053,2,1,8,4,5,0,0,1,0,1,0,0,4.596129,0,0
